GISJOIN_ZCTA,COUNTYFP10,STATEFP10,ZCTA5CE10,GISJOIN_CBSA,p_overlap,urban,GISJOIN_county,YEAR,tot_hh,p20_hh_state,p80_hh_state,p20_cutoff_state,p80_cutoff_state,p20_static,p80_static,threshold_bin_p20_state,threshold_bin_p80_state,poor_income_static,rich_income_static,static_ice_income,poor,rich,ice_income,poor_black_static,rich_white_static,static_ice_race,poor_black,rich_white,ice_race,tot_pop,med_hh_inc,p_nh_white,p_nh_black,p_nh_ai,p_nh_asian,p_hisp,p_no_hs,p_ling_iso,p_pov,p_rent_occ,pop_density
G00606,081,72,00606,G10380,7.343920802165324,0,G7200810,2007-2011,10073,246018.6,984074.4,5000,42500,20453,100000,1,8,7012.5,71.5,-0.6890697905291373,2195.5,1168,-0.10200536086568053,60,48.5,-0.0011416658393725802,12,997.5,0.09783579866971111,6386,11155,0,0.281866583150642,0,0,99.71813341684935,45.66617137196632,89.63668850506254,64.63108320251177,31.030375223347228,0.05827038108939112
G00670,011,72,00670,G10380,3.0612289261389662,0,G7200110,2007-2011,9357,246018.6,984074.4,5000,42500,20453,100000,1,8,5991.5,46,-0.6354066474297317,1449,1169.5,-0.029870685048626697,165.5,38,-0.01362616223148445,46,1019,0.1039863204018382,9867,15431,0.13175230566534915,0,0,0,99.86824769433466,48.627450980392155,87.93820558526441,55.97503580928995,30.77837195484254,0.08334798621608229
G00765,147,72,00765,NA,NA,NA,G7201470,2007-2011,3199,246018.6,984074.4,5000,42500,20453,100000,1,8,2018,13,-0.6267583619881213,490.5,347,-0.044857768052516414,190.5,13,-0.05548608940293842,49,277,0.07127227258518287,9182,16723,3.692006098889131,0.20692659551296017,0,0,96.00304944456546,39.34480476505625,69.36360729133355,46.098979479863935,19.155740326191236,0.18572788767032597
G00775,049,72,00775,NA,NA,NA,G7200490,2007-2011,557,246018.6,984074.4,5000,42500,20453,100000,1,8,339.5,11,-0.5897666068222621,65.5,104,0.06912028725314183,48,11,-0.06642728904847396,10,94,0.15080789946140036,1790,17328,5.53072625698324,0.5027932960893855,0,0,93.85474860335195,39.581657280772326,63.04347826086957,45.02793296089386,23.18840579710145,0.06442596166379515
G02535,007,25,02535,NA,NA,NA,G2500070,2007-2011,5568,504481.80000000005,2017927.2000000002,22500,137500,20453,100000,4,14,869.5,1302.5,0.07776580459770115,869.5,843,-0.00475933908045977,23,1258.5,0.22189295977011494,23,812,0.14170258620689655,1267,62955,68.82399368587214,3.946329913180742,19.337016574585636,0,1.5785319652722969,1.101591187270502,0.5076142131979695,15.605095541401273,19.035532994923855,0.017809770845568233
G02539,007,25,02539,NA,NA,NA,G2500070,2007-2011,5568,504481.80000000005,2017927.2000000002,22500,137500,20453,100000,4,14,869.5,1302.5,0.07776580459770115,869.5,843,-0.00475933908045977,23,1258.5,0.22189295977011494,23,812,0.14170258620689655,4034,74214,96.87654933068914,0.1487357461576599,0,0.2974714923153198,0.07436787307882994,11.84375,0.8867667121418827,6.084126189283926,18.076398362892224,0.053509591037843675
G02543,001,25,02543,G12700,18.161230792759927,0,G2500010,2007-2011,96775,504481.80000000005,2017927.2000000002,22500,137500,20453,100000,4,14,15684,20059,0.045207956600361664,15684,13024,-0.02748643761301989,236.5,19455.5,0.1985946783776802,236.5,12655.5,0.1283285972616895,613,95833,94.77977161500816,0.9787928221859705,0,0.9787928221859705,3.262642740619902,0,0,0,21.893491124260358,0.0233758553599018
G02554,019,25,02554,NA,NA,NA,G2500190,2007-2011,3745,504481.80000000005,2017927.2000000002,22500,137500,20453,100000,4,14,409.5,1296,0.23671562082777037,409.5,918.5,0.13591455273698264,0,1203,0.3212283044058745,0,866,0.23124165554072096,9914,85393,81.7530764575348,8.1097437966512,0.010086746015735325,1.1297155537623564,6.021787371393988,7.008953553441522,1.7260273972602742,8.793121097348756,30.191780821917806,0.08901480110620023
G02557,007,25,02557,NA,NA,NA,G2500070,2007-2011,5568,504481.80000000005,2017927.2000000002,22500,137500,20453,100000,4,14,869.5,1302.5,0.07776580459770115,869.5,843,-0.00475933908045977,23,1258.5,0.22189295977011494,23,812,0.14170258620689655,4449,78890,78.87165655203417,11.485727129692066,0,2.4499887615194424,0,7.6558265582655824,3.918824352694192,8.844312742192843,16.724982505248427,0.23391726411495994
G02564,019,25,02564,NA,NA,NA,G2500190,2007-2011,3745,504481.80000000005,2017927.2000000002,22500,137500,20453,100000,4,14,409.5,1296,0.23671562082777037,409.5,918.5,0.13591455273698264,0,1203,0.3212283044058745,0,866,0.23124165554072096,221,65461,90.49773755656109,2.262443438914027,0,0,4.97737556561086,0,0,9.502262443438914,20,0.01347813416583668
